construct,genotype,mouse_id,sex,session_nr,block_nr,block_Id,trial_tr,validity,trialtype,CRonset,CRamp,CRpeaktime,FEC_amp,FEC_time,AmpAtTimeX,startle,CR
C57Bl/6J,wt,146,female,1,1,76364,1,valid,puff1,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,2,1,76463,1,valid,puff1,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,3,1,76559,1,valid,puff1,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,4,1,76655,1,valid,puff1,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,5,1,76769,1,valid,puff1,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,6,1,76824,1,valid,puff1,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,7,1,76888,1,valid,puff1,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,1,1,76364,6,valid,tone10,NaN,1.02067768256509,879,1.02067768256509,879,0.985306428491102,1,1
C57Bl/6J,wt,146,female,2,1,76463,6,valid,tone10,NaN,NaN,NaN,-0.0272117957260676,1001,-0.203635928185485,1,0
C57Bl/6J,wt,146,female,3,1,76559,6,valid,tone10,NaN,0.797812592277047,825,0.797812592277047,825,0.713693293859763,1,1
C57Bl/6J,wt,146,female,4,1,76655,6,valid,tone10,NaN,0.907392782952975,969,0.907392782952975,969,0.153516244386618,1,1
C57Bl/6J,wt,146,female,5,1,76769,4,invalid,tone20,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,6,1,76824,4,invalid,tone20,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,7,1,76888,4,invalid,tone20,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,1,1,76364,11,valid,tone2,NaN,NaN,NaN,0.0169253148021089,666,0.00691138010745851,1,0
C57Bl/6J,wt,146,female,2,1,76463,11,valid,tone2,NaN,NaN,NaN,0.0851576459095565,972,-0.316415626111368,1,0
C57Bl/6J,wt,146,female,3,1,76559,11,valid,tone2,NaN,NaN,NaN,0.0238183444958578,729,0.0139989235583556,1,0
C57Bl/6J,wt,146,female,4,1,76655,11,valid,tone2,NaN,NaN,NaN,0.013987617149606,738,0.00966773066123433,1,0
C57Bl/6J,wt,146,female,5,1,76769,7,valid,tone10,NaN,0.528520148357485,816,0.528520148357485,816,0.370093128964008,1,1
C57Bl/6J,wt,146,female,6,1,76824,7,valid,tone10,NaN,0.43008768712906,780,0.43008768712906,780,0.343242299322114,1,1
C57Bl/6J,wt,146,female,7,1,76888,7,valid,tone10,NaN,1.07817634262298,870,1.07817634262298,870,0.973219456245606,1,1
C57Bl/6J,wt,146,female,1,1,76364,16,valid,tone18,NaN,NaN,NaN,-0.0135119774687889,696,-0.0476611920546142,1,0
C57Bl/6J,wt,146,female,2,1,76463,16,valid,tone18,NaN,0.417072002573879,822,0.417072002573879,822,0.122828670270464,1,1
C57Bl/6J,wt,146,female,3,1,76559,16,valid,tone18,NaN,0.371749776518601,909,0.371749776518601,909,0.0856169863360147,1,1
