construct,genotype,mouse_id,sex,session_nr,block_nr,block_Id,trial_nr,trialtype,validity,CRonset,CRamp,CRpeaktime,FEC_amp,FEC_time,AmpAtTimeX,startle,CR
C57Bl/6J,wt,146,female,1,1,74760,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,2,1,74920,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,3,1,75080,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,4,1,75246,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,5,1,75402,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,6,1,75562,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,7,1,75722,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,8,1,75882,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,9,1,76042,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,10,1,76202,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,1,1,74760,12,tone10,valid,NaN,0.144673086379208,963,0.144673086379208,963,0.115822169717043,1,1
C57Bl/6J,wt,146,female,2,1,74920,12,tone10,valid,NaN,0.117836798494389,705,0.117836798494389,705,0.111771591136012,1,1
C57Bl/6J,wt,146,female,3,1,75080,12,tone10,valid,NaN,0.44892378134936,753,0.44892378134936,753,0.447535473786667,1,1
C57Bl/6J,wt,146,female,4,1,75246,12,tone10,valid,NaN,NaN,NaN,0.225062351933241,753,0.224121460996071,1,0
C57Bl/6J,wt,146,female,5,1,75402,12,tone10,valid,NaN,NaN,NaN,0.14334929400031,792,0.138336601477937,1,0
C57Bl/6J,wt,146,female,6,1,75562,12,tone10,valid,NaN,NaN,NaN,0.0346259218100288,729,0.0177676208348016,1,0
C57Bl/6J,wt,146,female,7,1,75722,12,tone10,valid,NaN,0.662333944784957,1001,0.662333944784957,1001,0.483488046419553,1,1
C57Bl/6J,wt,146,female,8,1,75882,12,tone10,invalid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,9,1,76042,12,tone10,valid,NaN,0.430650090298386,957,0.430650090298386,957,0.318818077257782,1,1
C57Bl/6J,wt,146,female,10,1,76202,12,tone10,valid,NaN,NaN,NaN,0.167740561799128,888,-0.00950973774368695,1,0
C57Bl/6J,wt,146,female,1,2,74764,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,2,2,74923,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,3,2,75083,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,4,2,75249,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,5,2,75405,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,6,2,75566,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,7,2,75725,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,8,2,75885,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,9,2,76045,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,10,2,76206,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,1,2,74764,12,tone10,valid,NaN,NaN,NaN,0.114067836251844,669,0.0614441237730358,1,0
C57Bl/6J,wt,146,female,2,2,74923,12,tone10,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,3,2,75083,12,tone10,invalid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,4,2,75249,12,tone10,valid,NaN,0.199524380176029,792,0.199524380176029,792,0.191798005186091,1,1
C57Bl/6J,wt,146,female,5,2,75405,12,tone10,valid,NaN,NaN,NaN,0.323669362129884,693,0.248069334905371,1,0
C57Bl/6J,wt,146,female,6,2,75566,12,tone10,valid,NaN,0.315820888458285,993,0.315820888458285,993,0.285728147864887,1,1
C57Bl/6J,wt,146,female,7,2,75725,12,tone10,valid,NaN,0.66115826659423,801,0.66115826659423,801,0.655562210592708,1,1
C57Bl/6J,wt,146,female,8,2,75885,12,tone10,valid,NaN,0.666066346209604,741,0.666066346209604,741,0.63647252656517,1,1
C57Bl/6J,wt,146,female,9,2,76045,12,tone10,valid,NaN,NaN,NaN,0.051830400782798,696,0.0477429942997804,1,0
C57Bl/6J,wt,146,female,10,2,76206,12,tone10,invalid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,1,3,74766,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,2,3,74926,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,3,3,75086,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,4,3,75252,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,5,3,75408,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,6,3,75568,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,7,3,75728,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,8,3,75888,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,9,3,76048,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,10,3,76208,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,1,3,74766,12,tone10,valid,NaN,NaN,NaN,0.0878090980552666,663,0.0218234864785087,1,0
C57Bl/6J,wt,146,female,2,3,74926,12,tone10,valid,NaN,0.299952415162472,831,0.299952415162472,831,0.285180517614871,1,1
C57Bl/6J,wt,146,female,3,3,75086,12,tone10,valid,NaN,0.507657965355082,702,0.507657965355082,702,0.430088594135533,1,1
C57Bl/6J,wt,146,female,4,3,75252,12,tone10,valid,NaN,0.220808262996446,768,0.220808262996446,768,0.181888586113037,1,1
C57Bl/6J,wt,146,female,5,3,75408,12,tone10,valid,NaN,0.128424859023667,798,0.128424859023667,798,0.0591958022953304,1,1
C57Bl/6J,wt,146,female,6,3,75568,12,tone10,valid,NaN,0.670142879765876,939,0.670142879765876,939,0.564867258788405,1,1
C57Bl/6J,wt,146,female,7,3,75728,12,tone10,valid,NaN,0.246321824912705,843,0.246321824912705,843,0.187917738181882,1,1
C57Bl/6J,wt,146,female,8,3,75888,12,tone10,valid,NaN,0.886676920059132,900,0.886676920059132,900,0.707939012045137,1,1
C57Bl/6J,wt,146,female,9,3,76048,12,tone10,valid,NaN,0.304352031132829,813,0.304352031132829,813,0.249086293825735,1,1
C57Bl/6J,wt,146,female,10,3,76208,12,tone10,valid,NaN,0.444402845652482,888,0.444402845652482,888,0.287765506172451,1,1
C57Bl/6J,wt,146,female,1,4,74769,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,2,4,74929,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,3,4,75089,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,4,4,75255,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,5,4,75411,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,6,4,75571,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,7,4,75731,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,8,4,75891,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
C57Bl/6J,wt,146,female,9,4,76051,1,puff1,valid,NaN,NaN,NaN,NaN,NaN,NaN,0,0
